year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2037;0.18229166666666669;22786.458333333336;21809.650759937475;41585.28645833334;64.42719309119693;322.13596545598466;0.0;1;0;0.9114583333333335;0.0;113932.29166666669;0;0;1
2038;2.041666666666667;255208.33333333334;222458.43775136233;424169.9218750001;721.5845626214057;3285.7868476510434;0.0;3;0;9.296875000000002;0.0;1162109.375;0;0;9
2039;2.697916666666667;337239.5833333334;78514.74273577484;149707.03125;953.5224577497145;1159.689475641544;0.0;2;0;3.28125;0.0;410156.2500000001;0;0;12
2040;5.6875;710937.5;357678.27246297477;681998.6979166666;2010.1284244453434;5283.029833478145;0.0;5;0;14.947916666666664;0.0;1868489.583333333;0.0;0;25
2041;10.682291666666666;1335286.4583333333;597584.4308222868;1139436.848958333;3775.4335151441396;8826.525453493981;0.0;10;0;24.97395833333333;0.0;3121744.791666666;0.0;0;49
2042;17.080729166666664;2135091.145833333;787328.392433743;1501228.8411458333;6036.82799264515;11629.108352961033;322.13596545598466;12;1;31.992187499999993;0.9114583333333335;3999023.437499999;113932.29166666669;0;77
2043;28.236979166666668;3529622.3958333335;1557209.0642595347;2969189.453125001;9979.772209826404;23000.507933557317;3607.922813107028;21;3;55.781250000000014;9.296875000000002;6972656.250000002;1162109.375;0;128
2044;47.6;5949999.999999999;2395135.8464563303;4566896.158854167;16823.228659973338;35376.971726376214;4767.612288748573;37;2;96.81510416666667;3.28125;12101888.020833328;410156.2500000001;0;215
2045;75.19895833333334;9399869.791666668;3659659.3975175023;6978011.067708334;26577.505693980554;54054.41500351423;10050.642122226716;53;5;137.99479166666669;14.947916666666664;17249348.958333343;1868489.583333333;0;340
2046;115.23385416666666;14404231.77083333;5387419.930719756;10272397.460937498;40727.00584066922;79574.02618693729;18555.031610264712;76;10;200.17447916666663;24.97395833333333;25021809.895833313;3121744.791666666;109;520
2047;163.5484375;20443554.687499996;6567758.229847565;12522993.164062504;57802.78909756004;97008.02463741513;26898.3531155747;93;13;241.57291666666674;32.90364583333333;30196614.58333333;4112955.7291666656;1107;738
2048;217.42291666666668;27177864.583333332;8002833.24985145;15259305.013020836;76843.60174373239;118204.57116441909;48739.17157349047;102;24;269.37239583333337;65.07812500000001;33671549.47916668;8134765.625000002;391;982
2049;268.64322916666674;33580403.645833336;8523211.516983554;16251529.947916685;94946.3544584969;125890.7353001988;78833.11346638855;98;39;256.10156250000034;100.09635416666667;32012695.31250002;12512044.270833328;1780;1213
2050;312.8125;39101562.49999999;8944137.77665034;17054125.976562485;110557.0633444939;132107.9594334992;124061.0030164088;84;58;220.8463541666663;152.94270833333334;27605794.270833284;19117838.541666675;2974;1411
2051;347.13802083333326;43392252.60416666;9494177.168815956;18102906.901041646;122688.70380356627;140232.22848229914;192005.92085038504;66;86;171.6276041666663;225.14843749999994;21453450.52083332;28143554.687499978;3918;1566
2052;371.41927083333337;46427408.85416667;9472803.711071268;18062153.32031253;131270.40592331372;139916.5352361524;266013.43755424285;47;106;121.40625000000057;274.47656250000006;15175781.250000075;34309570.31249999;7748;1675
2053;388.8463541666667;48605794.270833336;10087835.862501457;19234858.398437496;137429.64558283216;149000.7694620113;348841.03699228575;34;126;87.13541666666657;334.45052083333337;10891927.08333332;41806315.10416668;11917;1754
2054;400.01718750000003;50002148.43750001;9859706.915552542;18799876.302083354;141377.7439754607;145631.22726334148;420677.3572889703;21;137;55.85416666666674;356.197916666667;6981770.833333358;44524739.58333334;18208;1803
2055;406.8786458333334;50859830.72916667;9765053.031254381;18619396.158854157;143802.78352341335;144233.15717326244;473211.29053553223;14;142;34.3072916666668;373.78906249999966;4288411.458333321;46723632.81249996;26804;1835
